gender,body_type,occasion,weather,style,top_color,bottom_color
male,ectomorph,interview,winter,business,charcoal,charcoal
male,endomorph,formal,summer,formal,white,navy
male,ectomorph,party,rainy,glam,white,grey
male,mesomorph,sports,rainy,sporty,navy,black
female,apple,formal,autumn,business,navy,navy
male,trapezoid,formal,summer,traditional,white,charcoal
male,trapezoid,formal,rainy,traditional,cream,grey
male,oval,party,spring,vintage,white,blue
male,endomorph,interview,winter,formal,white,grey
male,mesomorph,date,spring,casual,lightblue,charcoal
female,triangle,date,autumn,chic,black,beige
male,trapezoid,casual,spring,street,beige,khaki
female,hourglass,formal,winter,business,navy,navy
male,ectomorph,formal,summer,traditional,navy,black
female,inverted_triangle,formal,autumn,formal,black,black
male,endomorph,travel,autumn,sporty,rust,blue
male,trapezoid,casual,summer,bohemian,charcoal,khaki
female,apple,formal,rainy,business,beige,navy
male,mesomorph,casual,summer,street,teal,black
male,oval,sports,summer,sporty,navy,navy
male,endomorph,party,summer,traditional,black,blue
female,oval,date,rainy,romantic,black,white
female,hourglass,sports,summer,sporty,orange,navy
male,oval,date,winter,chic,mustard,blue
male,ectomorph,interview,summer,formal,charcoal,charcoal
male,endomorph,date,summer,casual,purple,charcoal
female,triangle,sports,winter,sporty,navy,black
female,rectangle,sports,autumn,sporty,pink,navy
male,trapezoid,travel,spring,sporty,navy,cream
male,trapezoid,sports,autumn,sporty,grey,grey
male,endomorph,sports,winter,sporty,grey,navy
male,oval,sports,summer,sporty,teal,grey
male,trapezoid,sports,autumn,sporty,gold,grey
female,apple,sports,rainy,sporty,cream,grey
male,endomorph,party,winter,traditional,navy,black
male,trapezoid,party,summer,street,white,black
male,ectomorph,sports,summer,sporty,silver,navy
male,ectomorph,sports,rainy,sporty,navy,grey
male,oval,date,autumn,minimal,black,blue
male,mesomorph,party,spring,vintage,black,blue
female,apple,sports,summer,sporty,purple,grey
female,pear,casual,summer,casual,lavender,grey
male,oval,date,summer,vintage,lavender,cream
female,inverted_triangle,date,rainy,minimal,charcoal,blue
male,trapezoid,party,summer,traditional,navy,grey
male,oval,interview,summer,business,white,navy
male,endomorph,date,rainy,vintage,maroon,cream
female,oval,date,rainy,casual,beige,khaki
male,endomorph,sports,rainy,sporty,cream,grey
female,hourglass,formal,winter,formal,beige,black
male,ectomorph,sports,spring,sporty,white,grey
female,apple,sports,rainy,sporty,red,black
male,endomorph,party,rainy,vintage,black,grey
male,ectomorph,travel,rainy,minimal,white,black
female,oval,date,winter,vintage,rust,beige
female,triangle,sports,winter,sporty,silver,grey
male,oval,date,spring,vintage,lavender,khaki
male,trapezoid,formal,summer,traditional,white,navy
male,trapezoid,formal,rainy,traditional,white,charcoal
male,ectomorph,interview,rainy,business,white,charcoal
male,trapezoid,party,spring,traditional,navy,blue
male,mesomorph,interview,spring,formal,white,black
female,pear,party,autumn,chic,red,black
female,oval,formal,summer,traditional,cream,grey
female,inverted_triangle,travel,summer,minimal,peach,grey
male,mesomorph,party,spring,glam,maroon,blue
male,endomorph,date,summer,romantic,white,grey
male,mesomorph,party,summer,glam,white,blue
female,triangle,formal,spring,formal,white,black
male,oval,travel,winter,sporty,white,black
male,oval,casual,autumn,vintage,black,charcoal
female,pear,party,summer,street,silver,beige
male,endomorph,sports,summer,sporty,navy,black
female,hourglass,casual,rainy,bohemian,grey,khaki
female,apple,travel,spring,bohemian,cream,blue
female,inverted_triangle,casual,spring,minimal,peach,blue
female,pear,date,spring,chic,yellow,lightblue
female,inverted_triangle,sports,winter,sporty,white,navy
male,trapezoid,interview,winter,minimal,white,navy
female,pear,interview,spring,business,charcoal,charcoal
male,ectomorph,formal,autumn,formal,navy,navy
male,trapezoid,date,winter,romantic,charcoal,blue
male,trapezoid,formal,rainy,business,cream,grey
female,rectangle,casual,spring,vintage,pink,blue
female,inverted_triangle,travel,winter,casual,cream,grey
male,endomorph,formal,autumn,traditional,white,navy
female,oval,party,winter,street,gold,black
female,triangle,date,rainy,minimal,charcoal,black
male,oval,sports,spring,sporty,yellow,grey
male,endomorph,formal,winter,traditional,black,black
female,rectangle,sports,rainy,sporty,white,navy
male,mesomorph,interview,summer,business,charcoal,charcoal
male,ectomorph,travel,summer,minimal,pink,grey
female,hourglass,casual,rainy,casual,black,charcoal
male,trapezoid,travel,spring,sporty,beige,black
male,trapezoid,travel,rainy,sporty,rust,white
male,trapezoid,travel,rainy,bohemian,black,grey
male,mesomorph,travel,winter,casual,brown,grey
female,apple,date,spring,casual,pink,charcoal
male,endomorph,interview,autumn,minimal,cream,grey
female,pear,interview,winter,formal,white,charcoal
male,endomorph,sports,winter,sporty,black,black
female,triangle,date,summer,casual,yellow,black
female,triangle,formal,autumn,traditional,black,black
female,pear,interview,spring,formal,white,black
male,oval,interview,winter,formal,beige,navy
female,hourglass,casual,autumn,bohemian,navy,blue
male,mesomorph,interview,spring,formal,navy,navy
female,inverted_triangle,travel,winter,casual,charcoal,beige
female,apple,interview,spring,minimal,white,black
male,trapezoid,interview,autumn,formal,lightblue,grey
male,oval,travel,summer,bohemian,lavender,cream
female,rectangle,formal,rainy,formal,navy,navy
female,hourglass,sports,rainy,sporty,teal,grey
male,mesomorph,party,rainy,glam,navy,blue
male,oval,interview,winter,formal,white,black
female,oval,casual,rainy,vintage,darkgreen,blue
male,trapezoid,casual,winter,minimal,darkgreen,navy
female,rectangle,casual,rainy,vintage,beige,khaki
female,oval,party,spring,vintage,purple,beige
male,trapezoid,interview,summer,business,white,black
male,oval,sports,autumn,sporty,navy,navy
male,oval,casual,spring,casual,gold,black
male,ectomorph,casual,rainy,casual,charcoal,cream
female,pear,party,rainy,chic,gold,white
male,ectomorph,formal,rainy,traditional,white,grey
male,trapezoid,travel,winter,bohemian,black,blue
male,ectomorph,casual,winter,casual,navy,black
male,ectomorph,formal,spring,traditional,grey,black
female,hourglass,date,spring,minimal,gold,khaki
female,inverted_triangle,party,spring,vintage,red,beige
female,rectangle,date,summer,romantic,charcoal,navy
male,mesomorph,party,summer,traditional,white,blue
male,mesomorph,travel,autumn,casual,beige,grey
female,inverted_triangle,interview,summer,business,beige,navy
male,mesomorph,casual,spring,minimal,yellow,grey
male,trapezoid,sports,rainy,sporty,gold,navy
male,endomorph,casual,spring,casual,orange,blue
male,oval,interview,rainy,business,white,grey
female,inverted_triangle,travel,spring,minimal,lightblue,khaki
female,hourglass,party,summer,street,silver,white
male,mesomorph,formal,summer,business,white,navy
female,pear,date,rainy,minimal,beige,black
female,triangle,date,rainy,romantic,black,lightblue
male,endomorph,casual,summer,vintage,gold,charcoal
female,oval,casual,winter,street,navy,khaki
male,trapezoid,formal,autumn,business,white,black
female,rectangle,sports,winter,sporty,gold,black
female,inverted_triangle,interview,autumn,business,white,grey
female,inverted_triangle,formal,summer,formal,lightblue,black
female,hourglass,casual,rainy,vintage,charcoal,grey
male,trapezoid,date,summer,vintage,white,blue
male,trapezoid,party,winter,glam,black,grey
male,trapezoid,formal,rainy,business,beige,navy
male,trapezoid,sports,rainy,sporty,pink,black
male,trapezoid,formal,winter,business,lightblue,black
male,mesomorph,party,rainy,traditional,white,grey
female,rectangle,date,winter,romantic,maroon,cream
male,mesomorph,party,winter,street,navy,black
female,rectangle,formal,summer,business,charcoal,charcoal
female,apple,interview,spring,formal,lightblue,black
male,trapezoid,interview,summer,formal,white,navy
male,mesomorph,date,spring,romantic,gold,lightblue
female,hourglass,formal,spring,formal,beige,navy
female,pear,date,spring,minimal,grey,lightblue
male,endomorph,party,rainy,chic,black,grey
male,trapezoid,sports,summer,sporty,charcoal,black
male,mesomorph,travel,rainy,bohemian,brown,grey
male,oval,date,winter,romantic,rust,lightblue
male,oval,travel,autumn,sporty,grey,charcoal
female,pear,interview,autumn,minimal,grey,black
female,inverted_triangle,travel,spring,sporty,white,khaki
female,hourglass,casual,autumn,street,mustard,black
male,endomorph,date,rainy,minimal,cream,lightblue
male,ectomorph,travel,rainy,sporty,mustard,blue
female,pear,casual,autumn,bohemian,charcoal,black
female,rectangle,travel,rainy,minimal,darkgreen,black
male,ectomorph,casual,winter,bohemian,charcoal,black
male,trapezoid,travel,winter,minimal,mustard,black
male,mesomorph,sports,winter,sporty,pink,grey
female,oval,formal,spring,traditional,charcoal,black
female,apple,interview,rainy,formal,black,black
female,hourglass,casual,summer,bohemian,grey,cream
female,pear,casual,rainy,vintage,black,beige
male,trapezoid,party,spring,vintage,black,grey
female,apple,casual,autumn,minimal,black,cream
male,mesomorph,sports,spring,sporty,beige,grey
male,endomorph,date,spring,minimal,orange,blue
male,endomorph,interview,autumn,formal,white,black
female,inverted_triangle,interview,summer,formal,lightblue,grey
male,ectomorph,interview,rainy,formal,white,grey
male,mesomorph,formal,autumn,traditional,white,navy
female,apple,party,winter,chic,silver,black
female,triangle,formal,rainy,formal,white,charcoal
female,rectangle,date,winter,chic,darkgreen,grey
male,ectomorph,party,rainy,vintage,white,grey
male,ectomorph,travel,summer,sporty,beige,grey
female,hourglass,party,spring,traditional,yellow,white
female,inverted_triangle,date,summer,romantic,white,lightblue
female,oval,sports,spring,sporty,cream,black
female,oval,date,autumn,vintage,maroon,blue
male,mesomorph,casual,spring,vintage,silver,blue
male,oval,travel,rainy,bohemian,beige,lightblue
male,mesomorph,date,summer,vintage,peach,grey
male,trapezoid,casual,winter,street,black,white
female,inverted_triangle,date,winter,vintage,cream,white
female,hourglass,party,spring,traditional,silver,black
female,triangle,formal,rainy,formal,charcoal,charcoal
female,triangle,travel,rainy,casual,mustard,cream
male,oval,formal,autumn,formal,beige,black
male,mesomorph,travel,winter,sporty,navy,black
male,oval,travel,spring,casual,black,lightblue
male,trapezoid,interview,winter,minimal,charcoal,black
female,inverted_triangle,interview,spring,minimal,white,black
male,endomorph,casual,summer,bohemian,navy,black
male,ectomorph,sports,spring,sporty,charcoal,black
female,inverted_triangle,sports,rainy,sporty,orange,black
female,pear,sports,rainy,sporty,teal,grey
female,rectangle,party,autumn,street,silver,beige
female,hourglass,formal,summer,formal,white,grey
female,oval,party,summer,traditional,silver,black
male,oval,date,summer,vintage,peach,grey
female,hourglass,interview,autumn,minimal,white,navy
female,pear,travel,rainy,minimal,white,navy
female,hourglass,formal,spring,formal,lightblue,navy
female,apple,sports,rainy,sporty,white,black
male,ectomorph,party,spring,chic,black,blue
female,triangle,date,summer,casual,navy,grey
male,endomorph,interview,spring,formal,white,grey
female,apple,interview,summer,business,navy,navy
male,ectomorph,date,summer,vintage,lavender,blue
female,inverted_triangle,interview,winter,formal,white,black
male,mesomorph,interview,summer,formal,lightblue,grey
female,inverted_triangle,casual,spring,minimal,mint,charcoal
female,oval,formal,rainy,business,beige,navy
female,pear,casual,autumn,casual,navy,black
male,oval,interview,summer,formal,white,grey
male,oval,formal,rainy,business,black,black
male,mesomorph,travel,summer,casual,white,blue
female,apple,party,summer,traditional,black,white
female,inverted_triangle,party,summer,traditional,orange,beige
female,apple,sports,summer,sporty,pink,navy
female,hourglass,travel,spring,sporty,black,blue
male,oval,date,spring,vintage,beige,blue
male,oval,date,rainy,casual,cream,khaki
male,ectomorph,interview,autumn,formal,white,grey
female,apple,travel,winter,minimal,darkgreen,blue
female,pear,date,winter,casual,maroon,navy
female,rectangle,formal,rainy,business,white,charcoal
female,rectangle,travel,rainy,casual,grey,khaki
male,endomorph,formal,autumn,business,white,charcoal
male,mesomorph,party,spring,street,navy,blue
female,rectangle,travel,rainy,bohemian,brown,lightblue
male,mesomorph,date,winter,chic,beige,black
female,oval,sports,spring,sporty,beige,navy
male,ectomorph,party,spring,street,white,black
female,hourglass,casual,winter,bohemian,darkgreen,lightblue
male,mesomorph,date,winter,vintage,darkgreen,beige
male,ectomorph,formal,spring,traditional,cream,black
female,oval,travel,autumn,casual,navy,blue
male,trapezoid,sports,winter,sporty,pink,black
female,oval,casual,autumn,minimal,darkgreen,grey
male,oval,formal,spring,traditional,beige,grey
male,mesomorph,travel,rainy,bohemian,maroon,khaki
male,ectomorph,casual,autumn,minimal,brown,blue
female,hourglass,casual,summer,vintage,orange,black
male,ectomorph,date,summer,vintage,teal,grey
male,endomorph,party,summer,vintage,navy,grey
male,trapezoid,travel,winter,minimal,maroon,grey
female,triangle,travel,rainy,bohemian,white,black
male,trapezoid,interview,summer,minimal,white,grey
female,oval,casual,autumn,bohemian,rust,black
male,oval,party,rainy,traditional,navy,black
female,inverted_triangle,date,spring,minimal,pink,grey
female,inverted_triangle,travel,summer,bohemian,orange,black
male,endomorph,sports,autumn,sporty,yellow,black
male,trapezoid,party,summer,street,maroon,black
female,hourglass,travel,autumn,sporty,beige,beige
female,rectangle,travel,winter,minimal,navy,lightblue
female,inverted_triangle,date,winter,minimal,rust,black
female,inverted_triangle,formal,spring,formal,beige,grey
female,rectangle,sports,summer,sporty,orange,navy
male,trapezoid,interview,spring,formal,cream,navy
female,pear,travel,rainy,sporty,brown,black
female,rectangle,interview,spring,minimal,cream,black
male,mesomorph,formal,rainy,business,cream,black
female,pear,casual,spring,street,white,grey
female,inverted_triangle,travel,winter,minimal,cream,lightblue
female,inverted_triangle,casual,autumn,street,grey,cream
female,inverted_triangle,party,autumn,glam,gold,white
male,mesomorph,travel,rainy,bohemian,white,lightblue
female,hourglass,sports,summer,sporty,gold,grey
male,mesomorph,travel,winter,bohemian,white,grey
female,rectangle,party,autumn,traditional,gold,white
female,pear,party,spring,glam,pink,beige
female,apple,interview,summer,minimal,cream,black
female,triangle,party,summer,chic,pink,black
male,endomorph,interview,summer,business,white,navy
male,trapezoid,formal,rainy,business,black,black
male,oval,party,summer,vintage,black,grey
female,pear,formal,summer,formal,black,black
female,inverted_triangle,travel,summer,bohemian,navy,black
female,inverted_triangle,date,winter,casual,white,cream
male,endomorph,interview,spring,business,cream,grey
female,pear,interview,spring,minimal,white,grey
male,endomorph,interview,summer,formal,navy,navy
female,inverted_triangle,casual,spring,street,black,blue
male,ectomorph,travel,autumn,minimal,cream,beige
female,pear,interview,summer,business,white,grey
male,oval,party,summer,glam,black,black
female,triangle,sports,summer,sporty,teal,navy
male,oval,date,summer,minimal,lavender,grey
male,trapezoid,sports,rainy,sporty,charcoal,grey
female,oval,interview,winter,minimal,black,black
male,trapezoid,travel,autumn,casual,mustard,khaki
male,trapezoid,sports,winter,sporty,beige,navy
male,endomorph,date,summer,romantic,beige,grey
female,pear,sports,rainy,sporty,black,black
female,apple,travel,summer,casual,beige,white
female,rectangle,party,spring,chic,gold,beige
male,mesomorph,interview,spring,formal,navy,navy
female,rectangle,sports,winter,sporty,charcoal,grey
female,hourglass,interview,rainy,business,lightblue,grey
male,ectomorph,party,winter,glam,maroon,blue
female,rectangle,date,rainy,vintage,navy,khaki
female,apple,casual,rainy,casual,navy,khaki
male,endomorph,casual,autumn,street,grey,black
male,endomorph,formal,rainy,business,grey,grey
male,trapezoid,interview,winter,business,black,black
female,hourglass,casual,summer,vintage,white,black
male,trapezoid,casual,autumn,vintage,grey,black
female,pear,formal,rainy,formal,lightblue,grey
female,triangle,party,spring,vintage,red,beige
male,endomorph,travel,summer,casual,beige,cream
female,triangle,travel,winter,bohemian,white,charcoal
female,triangle,travel,spring,minimal,charcoal,khaki
female,hourglass,date,rainy,chic,darkgreen,black
male,oval,casual,rainy,vintage,cream,grey
male,endomorph,interview,autumn,minimal,white,black
male,endomorph,sports,rainy,sporty,yellow,grey
female,pear,date,autumn,vintage,cream,lightblue
female,apple,interview,winter,minimal,white,navy
male,mesomorph,sports,autumn,sporty,teal,navy
female,hourglass,travel,summer,minimal,silver,grey
male,oval,casual,winter,street,cream,lightblue
male,oval,travel,spring,bohemian,purple,black
female,pear,date,winter,vintage,mustard,blue
female,hourglass,interview,rainy,business,white,grey
male,ectomorph,casual,summer,bohemian,white,lightblue
female,oval,casual,rainy,vintage,white,black
male,trapezoid,casual,autumn,minimal,charcoal,khaki
female,apple,travel,rainy,sporty,cream,blue
female,pear,casual,autumn,street,maroon,blue
male,trapezoid,interview,rainy,business,white,grey
female,hourglass,formal,winter,traditional,beige,grey
male,oval,sports,spring,sporty,grey,grey
female,rectangle,sports,winter,sporty,silver,black
female,oval,sports,autumn,sporty,black,navy
female,hourglass,formal,winter,business,grey,grey
male,mesomorph,travel,autumn,bohemian,white,cream
female,inverted_triangle,travel,summer,minimal,beige,lightblue
female,pear,interview,spring,formal,white,navy
male,trapezoid,travel,spring,casual,grey,black
male,ectomorph,interview,winter,business,white,navy
